# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jan 20 06:34:56 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
#
pl_name,default_flag,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_ratdor,pl_ratror,st_teff,st_rad,sy_vmag,sy_jmag
HD 52265 b,1,119.27000000,,,384.57430,1.21000,Msini,,,6136.00,,6.2935100,5.2420000
HD 5278 b,1,14.33915600,2.450,0.219,7.80000,0.02454,Mass,22.400000,0.01874,6203.00,1.19,7.9400000,6.9490000
HD 5278 c,1,40.87000000,,,18.40000,0.05789,Msini,,,6203.00,1.19,7.9400000,6.9490000
HD 5319 b,1,637.10000000,,,494.54348,1.55600,Msini,,,4871.00,4.06,8.0500000,6.3480000
HD 5319 c,1,872.20000000,,,334.67499,1.05300,Msini,,,4871.00,4.06,8.0500000,6.3480000
HD 55696 b,1,1827.00000000,,,1230.00210,3.87000,Msini,,,6012.00,1.52,7.9500000,6.9000000
HD 5583 b,1,139.35000000,,,1837.05740,5.78000,Msini,,,4830.00,9.09,7.6040000,5.8130000
HD 5608 b,1,779.90000000,,,534.27223,1.68100,Msini,,,4877.00,5.14,6.0027200,4.4780000
HD 564 b,1,492.30000000,,,104.88000,0.33000,Msini,,,5902.00,1.01,8.3200000,7.2180000
HD 5891 b,1,177.11000000,,,2425.04290,7.63000,Msini,,,4673.00,10.64,8.0900000,6.2390000
HD 59686 A b,1,299.36000000,,,2199.38360,6.92000,Msini,,,4658.00,13.20,5.4429900,3.6300000
HD 60292 b,1,495.40000000,,,2065.89500,6.50000,Msini,,,4348.00,27.00,6.9465700,4.8980000
HD 60532 b,1,201.90000000,,,336.89980,1.06000,Msini,,,6245.00,2.57,4.4400000,3.7030000
HD 60532 c,1,600.10000000,,,797.75330,2.51000,Msini,,,6245.00,2.57,4.4400000,3.7030000
HD 62509 b,1,589.64000000,,,731.00000,2.30000,Msini,,,4892.63,,1.1251200,-0.3150000
HD 63433 b,1,7.10793000,2.150,0.192,,,,16.950000,0.02161,5640.00,0.91,6.9203500,5.6240000
HD 63433 c,1,20.54530000,2.670,0.238,,,,34.380000,0.02687,5640.00,0.91,6.9203500,5.6240000
HD 63454 b,1,2.81805000,,,79.45750,0.25000,Msini,,,4812.00,0.77,9.3700000,7.5960000
HD 63765 b,1,358.00000000,,,168.44990,0.53000,Msini,,,5449.00,0.83,8.1000000,6.7680000
HD 63935 b,1,9.05881100,2.990,0.267,10.80000,0.03398,Mass,18.640000,0.02850,5534.00,0.96,8.5800000,7.3040000
HD 63935 c,1,21.40230000,2.900,0.259,11.10000,0.03492,Mass,33.060000,0.02770,5534.00,0.96,8.5800000,7.3040000
HD 64114 b,1,45.79100000,,,17.80000,0.05600,Msini,,,5676.00,,7.7100000,6.4780000
HD 6434 b,1,21.99800000,,,155.73670,0.49000,Msini,,,5769.00,1.12,7.7200000,6.5770000
HD 65216 b,1,577.60000000,,,411.58985,1.29500,Msini,,,5612.00,,7.9700000,6.7630000
HD 65216 c,1,5370.00000000,,,645.19490,2.03000,Msini,,,5612.00,,7.9700000,6.7630000
HD 66141 b,1,480.50000000,,,1906.90000,6.00000,Msini,,,4323.00,21.40,4.3782100,2.1990000
HD 66428 b,1,2263.12000000,,,1018.32732,3.20400,Msini,,,5773.00,1.10,8.2500000,7.0440000
HD 66428 c,1,39000.00000000,,,8581.36699,27.00000,Msini,,,5647.60,1.17,8.2500000,7.0440000
HD 67087 b,1,352.20000000,,,973.00000,3.06000,Msini,,,6330.00,1.55,8.0500000,7.0980000
HD 67087 c,1,2374.00000000,,,1540.00000,4.85000,Msini,,,6330.00,1.55,8.0500000,7.0980000
HD 6718 b,1,2496.00000000,,,533.95440,1.68000,Msini,,,5801.00,0.95,8.4500000,7.2690000
HD 68402 b,1,1103.00000000,,,975.73810,3.07000,Msini,,,5950.00,1.02,9.1100000,7.9840000
HD 68988 b,1,6.27711000,,,626.12510,1.97000,Msini,,,5932.00,1.19,8.2000000,7.0600000
HD 68988 c,1,16000.00000000,,,4767.42610,15.00000,Msini,,,5883.41,1.26,8.2000000,7.0600000
HD 69830 b,1,8.66700000,,,10.20000,0.03210,Msini,,,5385.00,,5.9600400,4.9530000
HD 69830 c,1,31.56000000,,,11.80000,0.03710,Msini,,,5385.00,,5.9600400,4.9530000
HD 69830 d,1,197.00000000,,,18.10000,0.05700,Msini,,,5385.00,,5.9600400,4.9530000
HD 70573 b,1,851.80000000,,,1900.00000,6.10000,Msini,,,5737.00,,8.6670000,7.5580000
HD 70642 b,1,2124.54000000,,,633.43519,1.99300,Msini,,,5732.00,0.98,7.1700000,5.9540000
HD 7199 b,1,615.00000000,,,85.81410,0.27000,Msini,,,5371.00,0.97,8.0600000,6.6640000
HD 72490 b,1,858.00000000,,,561.92344,1.76800,Msini,,,4934.00,4.96,7.8200000,6.1620000
HD 72659 b,1,3658.00000000,,,1223.64550,3.85000,Msini,,,5932.00,1.46,7.4600000,6.3580000
HD 72892 b,1,39.47500000,,,1732.17350,5.45000,Msini,,,5688.00,1.22,8.8300000,7.6060000
HD 73267 b,1,1245.36000000,,,984.31951,3.09700,Msini,,,5387.00,0.91,8.9000000,7.4930000
HD 73526 b,1,188.30000000,,,978.91640,3.08000,Msini,,,5601.00,1.53,8.9900000,7.7080000
HD 73526 c,1,379.10000000,,,715.09000,2.25000,Msini,,,,,8.9900000,7.7080000
HD 73534 b,1,1750.00000000,,,353.42696,1.11200,Msini,,,4917.00,2.58,8.2300000,6.5240000
HD 74156 b,1,51.64500000,,,572.07000,1.80000,Msini,,,6068.00,,7.6100000,6.5600000
HD 74156 c,1,2473.00000000,,,2561.60000,8.06000,Msini,,,6068.00,,7.6100000,6.5600000
HD 7449 b,1,1255.50000000,,,161.45764,0.50800,Msini,,,6024.00,,7.5000000,6.4250000
HD 75289 b,1,3.50927000,,,155.73670,0.49000,Msini,,,6117.00,1.23,6.3500000,5.3460000
HD 75784 b,1,341.20000000,,,317.83000,1.00000,Msini,,,4867.00,3.40,7.8400000,6.0920000
HD 75784 c,1,7900.00000000,,,1792.56120,5.64000,Msini,,,4867.00,3.40,7.8400000,6.0920000
HD 75898 b,1,422.90000000,,,861.31930,2.71000,Msini,,,5963.00,1.58,8.0300000,6.9250000
HD 76700 b,1,3.97097000,,,66.74430,0.21000,Msini,,,5644.00,1.37,8.1600000,6.9110000
HD 76920 b,1,415.40000000,,,1249.07190,3.93000,Msini,,,4698.00,7.47,7.8300000,5.9460000
HD 77338 b,1,5.73610000,,,19.06980,0.06000,Msini,,,5341.00,0.97,8.6300000,7.2180000
HD 79181 b,1,273.10000000,,,203.41018,0.64000,Msini,,,4862.00,11.06,5.7200000,4.2160000
HD 7924 b,1,5.39792000,,,6.35660,0.02000,Msini,,,5131.00,0.78,7.1789600,5.6180000
HD 7924 c,1,15.29900000,,,7.86000,0.02473,Msini,,,5075.00,0.78,7.1789600,5.6180000
HD 7924 d,1,24.45100000,,,6.44000,0.02026,Msini,,,5075.00,0.78,7.1789600,5.6180000
HD 79498 b,1,1807.00000000,,,425.89220,1.34000,Msini,,,5748.00,1.05,8.0500000,6.8510000
HD 80606 b,1,111.43670000,11.994,1.070,1392.09540,4.38000,Mass,98.380000,,5561.00,1.04,9.0600000,7.7020000
HD 80653 b,1,0.71957300,1.613,0.144,5.60000,0.01762,Mass,2.920000,0.01210,,1.22,9.4520000,8.3150000
HD 80869 b,1,1711.70000000,,,1544.64606,4.86000,Msini,583.000000,,5837.00,1.06,8.4800000,7.2590000
HD 81040 b,1,1001.70001000,,,2310.62410,7.27000,Msini,,,5755.00,0.91,7.7200000,6.5050000
HD 81688 b,1,184.02000000,,,858.10000,2.70000,Msini,,,4753.00,13.00,5.3975500,3.7990000
HD 81817 b,1,1047.10000000,,,8613.19300,27.10000,Msini,,,4140.00,83.80,4.2648900,1.6980000
HD 82886 b,1,705.00000000,,,740.54390,2.33000,Msini,,,4953.00,5.26,7.6200000,5.9950000
HD 82943 b,1,441.47000000,,,534.25000,1.68100,Mass,,,5935.00,1.18,6.5499300,5.5090000
HD 82943 c,1,220.07800000,,,622.60300,1.95900,Mass,,,5935.00,1.18,6.5499300,5.5090000
HD 8326 b,1,158.99100000,,,66.60000,0.20955,Msini,,,4914.00,,8.7600000,7.0520000
HD 83443 b,1,2.98570000,,,108.06220,0.34000,Msini,,,5442.00,0.94,8.2300000,6.8760000
HD 8535 b,1,1313.00000000,,,216.12440,0.68000,Msini,,,6136.00,1.19,7.7000000,6.7350000
HD 85390 b,1,799.52000000,,,31.46517,0.09900,Msini,,,5186.00,,8.5400000,7.0120000
HD 85512 b,1,58.43000000,,,3.17830,0.01000,Msini,,,4300.00,0.71,7.6700000,5.4510000
HD 8574 b,1,227.00000000,,,645.19490,2.03000,Msini,,,6064.00,1.38,7.1200000,6.0480000
HD 86081 b,1,2.13784310,,,470.38840,1.48000,Msini,,,5939.00,1.46,8.7300000,7.6280000
HD 86226 b,1,1628.00000000,,,143.02350,0.45000,Mass,,,5863.00,1.05,7.9300000,6.8390000
HD 86226 c,1,3.98442000,2.160,0.193,7.25000,0.02281,Mass,10.110000,,5863.00,1.05,7.9300000,6.8390000
HD 86264 b,1,1475.00000000,,,2224.81000,7.00000,Msini,,,6210.00,1.88,7.4100000,6.5050000
HD 8673 b,1,1634.00000000,,,4513.00000,14.20000,Msini,,,6389.05,1.50,6.3310000,5.4400000
HD 86950 b,1,1270.00000000,,,1144.18800,3.60000,Msini,,,4805.00,8.80,7.4700000,5.6920000
HD 87646 b,1,13.48100000,,,3941.09200,12.40000,Msini,,,5770.00,1.55,8.0700000,6.8970000
HD 87883 b,1,2754.00000000,,,489.45820,1.54000,Msini,,,4915.00,0.79,7.5600000,5.8390000
HD 88133 b,1,3.41488400,,,90.42263,0.28450,Msini,,,5392.00,2.20,8.0185200,6.5990000
HD 89307 b,1,2166.00000000,,,670.62130,2.11000,Msini,,,5955.00,1.10,7.0256900,5.8910000
HD 89345 b,1,11.81430000,7.398,0.660,34.96130,0.11000,Mass,13.110000,0.03890,5576.00,1.75,9.3800000,8.0910000
HD 89744 b,1,256.78000000,,,2653.88050,8.35000,Msini,,,6291.00,,5.7346900,4.8550000
HD 90156 b,1,49.77000000,,,17.98000,0.05700,Msini,,,5599.00,,6.9200000,5.6850000
HD 9174 b,1,1179.00000000,,,352.79130,1.11000,Msini,,,5577.00,1.67,8.4000000,7.1340000
HD 92788 b,1,325.80300000,,,1195.04080,3.76000,Msini,,,5744.00,1.14,7.3163700,6.1310000
HD 92788 c,1,11611.29750000,,,1166.43610,3.67000,Msini,,,5744.00,1.14,7.3163700,6.1310000
HD 92987 b,1,10354.83750000,,,5364.97040,16.88000,Msini,,,5770.00,1.58,7.0300000,5.9040000
HD 93083 b,1,143.58000000,,,117.59000,0.37000,Msini,,,4995.00,,8.3000000,6.6940000
HD 93385 b,1,7.34260000,,,4.20000,0.01321,Msini,,,5977.00,,7.4900000,6.4050000
HD 93385 c,1,13.18000000,,,7.10000,0.02234,Msini,,,5977.00,,7.4900000,6.4050000
HD 93385 d,1,45.85000000,,,8.70000,0.02737,Msini,,,5977.00,,7.4900000,6.4050000
HD 9446 b,1,30.05200000,,,222.47200,0.70000,Msini,,,5793.00,1.00,8.3500000,7.2070000
HD 9446 c,1,192.90000000,,,578.42600,1.82000,Msini,,,5793.00,1.00,8.3500000,7.2070000
HD 94834 b,1,1576.00000000,,,400.46580,1.26000,Msini,,,4798.00,4.20,7.6000000,5.8180000
HD 95086 b,1,,,,1589.00000,5.00000,Mass,,,,,7.3600000,6.9060000
HD 95089 b,1,464.40000000,,,400.46580,1.26000,Msini,,,4918.00,5.08,7.9200000,6.2400000
HD 95089 c,1,1785.00000000,,,1096.51350,3.45000,Msini,,,4918.00,5.08,7.9200000,6.2400000
HD 95127 b,1,482.00000000,,,3378.53290,10.63000,Msini,,,4218.00,41.01,8.1500000,5.8550000
HD 95338 b,1,55.08700000,3.890,0.347,42.44000,0.13353,Mass,64.676000,,5212.00,0.87,8.6200000,7.0990000
HD 95544 b,1,2172.00000000,,,2173.94630,6.84000,Msini,669.000000,,5722.00,1.09,8.3900000,7.1390000
HD 95735 c,1,3190.00000000,,,18.05265,0.05680,Msini,,,3719.95,0.37,7.4900000,4.3200000
HD 95872 b,1,4375.00000000,,,1188.68420,3.74000,Msini,,,5312.00,0.84,9.9550000,8.4060000
HD 96063 b,1,362.50000000,,,403.64410,1.27000,Msini,,,5020.00,4.75,8.2100000,6.6070000
HD 96127 b,1,647.29999000,,,6661.71680,20.96000,Msini,,,3943.00,51.10,7.4052100,4.8870000
HD 96167 b,1,498.04000000,,,227.88411,0.71700,Msini,,,5733.00,1.94,8.0900000,6.9260000
HD 96700 b,1,8.12450000,,,8.90000,0.02800,Msini,,,5845.00,,6.5100000,5.3960000
HD 96700 c,1,19.88000000,,,3.50000,0.01101,Msini,,,5845.00,,6.5100000,5.3960000
HD 96700 d,1,103.50000000,,,12.70000,0.03996,Msini,,,5845.00,,6.5100000,5.3960000
HD 96992 b,1,514.00000000,,,362.32620,1.14000,Msini,,,4725.00,7.43,8.5700000,6.6620000
HD 97048 b,1,,,,794.57500,2.50000,Mass,,,10000.00,2.25,8.4400000,7.2670000
HD 97658 b,1,9.48971160,2.120,0.189,8.30000,0.02611,Mass,24.200000,0.02670,5212.00,0.73,7.7600000,6.2030000
HD 98219 b,1,433.80000000,,,624.21812,1.96400,Msini,,,4925.00,4.60,8.0500000,6.4200000
HD 98649 b,1,6022.97250000,,,2158.06570,6.79000,Msini,,,5790.00,1.01,8.0000000,6.8110000
HD 98736 b,1,968.80000000,,,740.54390,2.33000,Msini,,,5271.00,0.93,7.9300000,6.4860000
HD 99109 b,1,439.29999000,,,139.84520,0.44000,Msini,,,5282.00,0.98,9.1000000,7.6260000
HD 99283 b,1,310.40000000,,,308.29355,0.97000,Msini,,,4886.00,11.21,5.7291600,4.2470000
HD 99492 b,1,17.04310000,,,22.24810,0.07000,Msini,,,4815.00,0.83,7.5672700,5.8520000
HD 99706 b,1,841.00000000,,,390.93090,1.23000,Msini,,,4862.00,5.52,7.6500000,5.9180000
HD 99706 c,1,1278.00000000,,,1808.45270,5.69000,Msini,,,,,7.6500000,5.9180000
HIP 105854 b,1,184.20000000,,,2606.10000,8.20000,Msini,,,4780.00,,5.6400000,3.8130000
HIP 107772 b,1,55.19900000,,,12.90000,0.04059,Msini,,,,,10.5600000,7.9360000
HIP 107773 b,1,144.30000000,,,629.30340,1.98000,Msini,,,4945.00,11.60,5.6200000,3.9420000
HIP 109384 b,1,499.48000000,,,495.81480,1.56000,Msini,,,5180.00,,9.6100000,8.1570000
HIP 109600 b,1,232.08000000,,,851.78440,2.68000,Msini,,,5530.00,,9.1800000,7.8810000
HIP 114933 b,1,1481.60000000,,,616.58711,1.94000,Msini,,,4823.00,5.27,7.2500000,5.5640000
HIP 116454 b,1,9.12050000,2.466,0.220,12.71320,0.04000,Mass,23.620000,,5089.00,0.72,10.1900000,8.6040000
HIP 12961 b,1,57.43500000,,,114.41880,0.36000,Msini,,,3901.00,0.65,10.2500000,7.5580000
HIP 14810 b,1,6.67389200,,,1239.53700,3.90000,Msini,,,5544.00,1.07,8.5200010,7.2020000
HIP 14810 c,1,147.74700000,,,416.35730,1.31000,Msini,,,5544.00,1.07,8.5200010,7.2020000
HIP 14810 d,1,981.80000000,,,187.51970,0.59000,Msini,,,5544.00,1.07,8.5200010,7.2020000
HIP 34222 b,1,159.98600000,,,263.79758,0.83000,Msini,,,,,10.1400000,7.5960000
HIP 35173 b,1,41.51600000,,,12.70000,0.03996,Msini,,,4881.00,,9.0100000,7.2630000
HIP 38594 b,1,60.72200000,,,8.10000,0.02549,Msini,,,,,9.7500000,7.0210000
HIP 38594 c,1,3477.76800000,,,48.40000,0.15228,Msini,,,,,9.7500000,7.0210000
HIP 41378 b,1,15.57209800,,,,,,21.000000,0.01843,6226.00,1.34,8.9300000,7.9820000
HIP 41378 c,1,31.70648000,,,,,,22.000000,0.02000,6226.00,1.34,8.9300000,7.9820000
HIP 41378 d,1,1114.00000000,,,,,,,0.02560,6226.00,1.34,8.9300000,7.9820000
HIP 41378 e,1,,,,,,,283.000000,0.03686,6226.00,1.34,8.9300000,7.9820000
HIP 41378 f,1,1084.00000000,,,,,,,0.06602,6226.00,1.34,8.9300000,7.9820000
HIP 4845 b,1,34.15000000,,,14.40000,0.04531,Msini,,,,,10.0600000,7.4170000
HIP 48714 b,1,17.81800000,,,22.90000,0.07205,Msini,,,,,8.9900000,6.0300000
HIP 5158 b,1,345.72000000,,,451.00000,1.42000,Msini,,,4962.00,,10.1600000,8.2800000
HIP 5158 c,1,9017.76000000,,,4780.16320,15.04000,Msini,,,4813.00,0.75,10.1600000,8.2800000
HIP 54373 b,1,7.76000000,,,8.62000,0.02712,Msini,,,4021.00,,10.3800000,7.4490000
HIP 54373 c,1,15.14400000,,,12.44000,0.03914,Msini,,,4021.00,,10.3800000,7.4490000
HIP 56640 b,1,2574.90000000,,,1166.43025,3.67000,Msini,,,4769.00,4.93,7.9400000,6.1330000
HIP 57274 b,1,8.13520000,,,6.35660,0.02000,Msini,,,4510.00,0.78,8.9700000,6.9580000
HIP 57274 c,1,32.03000000,,,130.00000,0.40902,Msini,,,4640.00,0.68,8.9700000,6.9580000
HIP 57274 d,1,431.70000000,,,167.40000,0.52670,Msini,,,4640.00,0.68,8.9700000,6.9580000
HIP 5763 b,1,30.01400000,,,162.09249,0.51000,Msini,,,,,9.8200000,7.5670000
HIP 63242 b,1,124.60000000,,,2917.56000,9.18000,Msini,,,4830.00,,6.8600000,5.0450000
HIP 65 A b,1,0.98097340,22.754,2.030,1021.18779,3.21300,Mass,5.289000,0.28700,4590.00,0.72,11.0000000,8.9220000
HIP 65407 b,1,28.12500000,,,136.03124,0.42800,Msini,,,5460.00,,9.3800000,7.9630000
HIP 65407 c,1,67.30000000,,,249.17872,0.78400,Msini,,,5460.00,,9.3800000,7.9630000
HIP 65426 b,1,,16.814,1.500,2860.47000,9.00000,Mass,,,8840.00,1.77,7.0100000,6.8260000
HIP 65891 b,1,1084.50000000,,,1906.98000,6.00000,Msini,,,5000.00,8.93,6.7500000,5.1150000
HIP 67522 b,1,6.95950300,10.070,0.898,,,,11.700000,0.06670,5675.00,1.38,9.7900000,8.5870000
HIP 67537 b,1,2556.50000000,,,3527.91300,11.10000,Msini,,,4985.00,8.69,6.4300000,5.0530000
HIP 67851 b,1,88.90000000,,,438.60540,1.38000,Msini,,,4890.00,5.92,6.1700000,4.4790000
HIP 67851 c,1,2131.80000000,,,1900.62340,5.98000,Msini,,,4890.00,5.92,6.1700000,4.4790000
HIP 70849 b,1,17337.50000000,,,2860.00000,9.00000,Msini,,,4105.00,,10.4210000,7.6390000
HIP 71135 b,1,87.19000000,,,18.80000,0.05915,Msini,,,4146.00,,10.5300000,8.0390000
HIP 74890 b,1,822.30000000,,,762.79200,2.40000,Msini,,,4850.00,5.77,7.0500000,5.2860000
HIP 75056 A b,1,47000.00000000,22.418,2.000,7945.71018,25.00000,Mass,,,,,7.7800000,7.3780000
HIP 75092 b,1,926.40000000,,,568.91285,1.79000,Msini,,,4891.00,4.53,7.1100000,5.3580000
HIP 78530 b,1,,,,7300.00000,23.00000,Mass,,,10500.00,,7.1691000,
HIP 79098 AB b,1,,,,6515.51500,20.50000,Mass,,,,,5.8600000,5.7360000
HIP 79431 b,1,111.70000000,,,667.41500,2.10000,Msini,,,3191.00,,11.3940000,7.5550000
HIP 8541 b,1,1560.20000000,,,1748.06500,5.50000,Msini,,,4670.00,7.83,7.8800000,6.0120000
HIP 86221 b,1,2.22400000,,,225.65817,0.71000,Msini,,,,,9.2500000,7.0010000
HIP 90988 b,1,453.90000000,,,622.94368,1.96000,Msini,,,4883.00,3.94,7.7500000,5.9950000
HIP 91258 b,1,5.05050000,,,346.43470,1.09000,Msini,,,5519.00,0.89,8.6500000,7.3100000
HIP 97166 b,1,10.28891000,2.740,0.244,20.00000,0.06293,Mass,,,5198.00,0.84,9.9200000,8.3860000
HIP 97166 c,1,16.84000000,,,9.90000,0.03115,Msini,,,5198.00,0.84,9.9200000,8.3860000
HIP 97233 b,1,1058.80000000,,,6356.30000,20.00000,Msini,,,5020.00,5.34,7.3400000,5.6710000
HN Peg b,1,,11.777,1.051,6991.57000,21.99870,Mass,,,,,5.9770700,4.7930000
HR 2562 b,1,,12.442,1.110,9534.90000,30.00000,Mass,,,,,6.1100000,5.3050000
HR 5183 b,1,27000.00000000,,,1026.59090,3.23000,Msini,,,5794.00,1.53,6.3343200,5.2120000
HR 810 b,1,302.79999000,,,721.47410,2.27000,Msini,,,6167.00,1.13,5.4000000,4.7500000
HR 858 b,1,3.58599000,2.085,0.186,,,,7.870000,0.01460,6201.00,1.31,6.3800000,5.4730000
HR 858 c,1,5.97293000,1.939,0.173,,,,11.060000,0.01358,6201.00,1.31,6.3800000,5.4730000
HR 858 d,1,11.23000000,2.164,0.193,,,,16.850000,0.01514,6201.00,1.31,6.3800000,5.4730000
HR 8799 b,1,170000.00000000,13.000,1.200,2000.00000,7.00000,Mass,,,,,5.9800000,5.3830000
HR 8799 c,1,69000.00000000,13.000,1.200,3000.00000,10.00000,Mass,,,,,5.9800000,5.3830000
HR 8799 d,1,37000.00000000,13.000,1.200,3000.00000,10.00000,Mass,,,,,5.9800000,5.3830000
HR 8799 e,1,,13.115,1.170,3178.30000,10.00000,Mass,,,7400.00,,5.9800000,5.3830000
HU Aqr AB b,1,2390.00000000,,,1875.19700,5.90000,Msin(i)/sin(i),,,,,16.1830000,14.1770000
HU Aqr AB c,1,4368.00000000,,,1430.23500,4.50000,Msin(i)/sin(i),,,,,16.1830000,14.1770000
HW Vir b,1,4640.00000000,,,4602.90201,14.48228,Msin(i)/sin(i),,,,,10.5000000,10.9740000
IC 4651 9122 b,1,734.00000000,,,2002.32900,6.30000,Msini,,,,,10.9090000,8.8010000
K2-10 b,1,19.30440000,3.840,0.343,27.00000,0.08495,Mass,28.700000,0.03570,5620.00,0.98,12.4290000,11.0590000
K2-100 b,1,1.67390350,3.880,0.346,21.80000,0.06859,Mass,5.210000,0.02867,5945.00,1.24,10.6510000,9.4630000
K2-101 b,1,14.67624290,2.000,0.178,,,,31.820000,0.02400,4927.00,0.76,12.8920000,11.1620000
K2-102 b,1,9.91561500,1.300,0.116,,,,25.300000,0.01700,4695.00,0.71,13.0830000,11.2820000
K2-104 b,1,1.97419540,1.790,0.160,,,,10.890000,0.03400,3712.00,0.48,15.9890000,12.8780000
K2-105 b,1,8.26699280,3.590,0.320,,,,18.480000,0.03390,5636.00,0.97,11.7520000,10.5410000
K2-107 b,1,3.31395900,15.980,1.426,,,,6.420000,0.08100,6061.00,1.81,13.0120000,11.5640000
K2-108 b,1,4.73399900,5.330,0.476,,,,9.860000,0.02770,5599.00,1.76,12.3390000,10.9860000
K2-11 b,1,39.93767000,7.550,0.674,,,,45.080000,,5433.00,5.15,13.4090000,11.8650000
K2-110 b,1,13.86387000,2.560,0.228,,,,32.940000,0.03290,4950.00,0.71,11.9850000,10.1840000
K2-111 b,1,5.35180000,1.820,0.162,5.29000,0.01664,Mass,,0.01346,5775.00,1.25,11.1300000,9.7680000
K2-111 c,1,15.67850000,,,11.30000,0.03555,Msini,,,5775.00,1.25,11.1300000,9.7680000
K2-113 b,1,5.81768500,12.140,1.083,,,,12.080000,0.08980,5660.00,1.24,13.7440000,12.3470000
K2-114 b,1,11.39093440,10.880,0.971,,,,24.380000,0.11440,5039.00,0.87,14.5500000,12.8350000
K2-115 b,1,20.27261500,12.060,1.076,,,,38.680000,0.12550,5657.00,0.88,13.4440000,12.1080000
K2-116 b,1,4.65541100,0.690,0.062,,,,15.370000,0.00940,4348.35,0.67,10.8000000,8.5970000
K2-117 b,1,1.29160000,2.030,0.181,,,,7.870000,0.03630,3778.00,0.51,14.6390000,11.4470000
K2-117 c,1,5.44401700,2.060,0.184,,,,18.520000,0.03680,3778.00,0.51,14.6390000,11.4470000
K2-118 b,1,50.92092000,2.540,0.227,,,,71.820000,0.03174,4726.29,0.73,14.0000000,12.2590000
K2-119 b,1,7.72728300,2.530,0.226,,,,19.230000,0.03280,4740.00,0.71,14.8180000,12.8410000
K2-12 b,1,8.28212000,2.330,0.208,,,,17.470000,,5800.00,1.01,12.3800000,10.9830000
K2-120 b,1,9.56274200,2.010,0.179,,,,24.050000,0.02760,4349.90,0.67,14.0920000,12.0000000
K2-121 b,1,5.18575390,7.520,0.671,,,,20.190000,0.10280,4690.00,0.67,13.2290000,11.3090000
K2-122 b,1,2.21930230,1.160,0.103,,,,13.610000,0.01800,4009.00,0.59,13.1050000,10.1040000
K2-123 b,1,30.95152400,2.760,0.246,,,,61.210000,0.04270,4035.00,0.59,14.7810000,11.9070000
K2-124 b,1,6.41365100,2.900,0.259,,,,28.000000,0.06900,3570.00,0.39,16.6920000,12.8380000
K2-125 b,1,21.75026400,2.180,0.194,,,,63.310000,0.04981,3654.47,0.40,16.4000000,12.6090000
K2-126 b,1,7.38565500,1.970,0.176,,,,20.290000,0.02790,4339.00,0.65,12.7590000,10.5080000
K2-127 b,1,3.58816300,8.370,0.747,,,,11.460000,0.11620,4575.00,0.66,15.0410000,13.3730000
K2-128 b,1,5.67581900,1.420,0.127,,,,15.460000,0.01675,4469.51,0.78,12.5800000,10.4910000
K2-129 b,1,8.23949300,1.040,0.093,,,,34.370000,0.02660,3459.09,0.36,13.6390000,9.6970000
K2-13 b,1,39.91488000,1.890,0.169,,,,79.690000,,5698.00,0.78,12.8820000,11.5710000
K2-130 b,1,2.49412000,1.250,0.112,,,,9.260000,0.01540,4356.47,0.74,12.6760000,10.5620000
K2-131 b,1,0.36931000,1.700,0.152,,,,2.600000,0.02070,5245.00,0.75,12.1290000,10.5700000
K2-132 b,1,9.17510000,14.572,1.300,155.73670,0.49000,Mass,,0.03250,4840.00,3.85,12.0710000,10.1530000
K2-133 b,1,3.07133000,1.340,0.120,,,,,0.02700,3655.00,0.46,14.0730000,11.0840000
K2-133 c,1,4.86784000,1.603,0.143,,,,,0.03230,3655.00,0.46,14.0730000,11.0840000
K2-133 d,1,11.02454000,2.003,0.179,,,,,0.04040,3655.00,0.46,14.0730000,11.0840000
K2-133 e,1,26.58410000,1.730,0.154,,,,,0.03480,3655.00,0.46,14.0730000,11.0840000
K2-136 b,1,7.97529200,0.990,0.088,,,,23.100000,0.01370,4499.00,0.66,11.1010000,9.0960000
K2-136 c,1,17.30713700,2.910,0.260,,,,39.000000,0.04010,4499.00,0.66,11.1010000,9.0960000
K2-136 d,1,25.57506500,1.450,0.129,,,,50.700000,0.02010,4499.00,0.66,11.1010000,9.0960000
K2-137 b,1,0.17971500,0.890,0.079,158.91500,0.50000,Mass,2.820000,0.01840,3492.00,0.44,15.9400000,11.7640000
